CodEstacao,NomeEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
49042540,UHE LUIZ GONZAGA (ITAPARICA) RESERVATÓRIO 4,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,JATOBÁ-PE,-9.03220,-38.45190,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49042555,UHE LUIZ GONZAGA (ITAPARICA) RESERVATÓRIO 3,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,JATOBÁ-PE,-8.99670,-38.23580,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49042560,UHE LUIZ GONZAGA (ITAPARICA) RESERVATÓRIO 2,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,JATOBÁ-PE,-9.08390,-38.35390,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49042570,UHE LUIZ GONZAGA (ITAPARICA) RESERVATÓRIO 1,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,JATOBÁ-PE,-9.12830,-38.30920,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49042580,UHE LUIZ GONZAGA (ITAPARICA) BARRAMENTO,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,JATOBÁ-PE,-9.14360,-38.31310,240.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49091000,AÇUDE BARRA,4,49,00230 - APAC-PE - Agência Pernambucana de Águas e Clima,00001 - ANA - Agência Nacional de Águas ,SERTÂNIA-PE,-8.08110,-37.31330,0.00,49330400,RIACHO DOS CAMPOS,Açudes Semiárido,Ativo
49092000,AÇUDE CUSTÓDIA (Marrecos),4,49,00230 - APAC-PE - Agência Pernambucana de Águas e Clima,00104 - CPRH-PE - Companhia Pernambucana do Meio Ambiente,CUSTÓDIA-PE,-8.07690,-37.60190,0.00,49128000,RIACHO QUITIMBÚ,Açudes Semiárido,Ativo
49135005,POÇO DA CRUZ - JUSANTE,4,49,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,IBIMIRIM-PE,-8.50970,-37.70610,410.00,49130000,RIO MOXOTÓ,Açudes Semiárido,Ativo
49140000,AÇUDE ENG. FRANCISCO SABOIA (POÇO DA CRUZ),4,49,00230 - APAC-PE - Agência Pernambucana de Águas e Clima,00104 - CPRH-PE - Companhia Pernambucana do Meio Ambiente,IBIMIRIM-PE,-8.50890,-37.70310,430.00,49130000,RIO MOXOTÓ,Açudes Semiárido,Ativo
49208010,UHE APOLÔNIO SALES (MOXOTÓ) RESERVATÓRIO 8,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,DELMIRO GOUVÉIA-AL,-9.16640,-38.29940,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
