datahora,"-49.50,-26.75","-49.25,-26.75","-49.25,-27.00","-49.50,-27.00"
2023-01-04 02:00:00,2.2292137,1.3632774,0.60749054,1.2655258
2023-01-04 03:00:00,2.1076202,0.97846985,0.34189224,1.1076927
2023-01-04 04:00:00,1.9316673,0.84114075,0.3285408,1.1701584
2023-01-04 05:00:00,1.4872551,1.1334419,0.7362366,1.1544228
2023-01-04 06:00:00,0.75006485,1.2469292,1.1768341,0.96416473
2023-01-04 07:00:00,0.60892105,0.7004738,0.5865097,0.37527084
2023-01-04 08:00:00,0.6008148,0.5879402,0.248909,0.2503395
2023-01-04 09:00:00,0.46253204,0.35619736,0.11301041,0.16736984
2023-01-04 10:00:00,0.27942657,0.22745132,0.082969666,0.13875961
2023-01-04 11:00:00,0.16593933,0.07343292,0.10967255,0.2169609
2023-01-04 12:00:00,0.5598068,0.1320839,0.2245903,0.600338
2023-01-04 13:00:00,1.2302399,0.5173683,0.42152405,0.8177757
2023-01-04 14:00:00,1.5330315,0.8983612,0.60367584,0.84257126
2023-01-04 15:00:00,1.9927025,1.057148,0.4415512,0.74625015
2023-01-04 16:00:00,0.93984604,0.7843971,0.2617836,0.28419495
2023-01-04 17:00:00,1.2674332,0.66041946,0.19598007,0.58460236
2023-01-04 18:00:00,0.11730194,0.22983551,0.09250641,0.03528595
2023-01-04 19:00:00,0.24747849,0.07867813,0.13637543,0.23031235
2023-01-04 20:00:00,0.1001358,0.11253357,0.14543533,0.06723404
2023-01-04 21:00:00,0.014305115,0.03671646,0.017166138,0.0014305115
2023-01-04 22:00:00,0.008583069,0.0071525574,0.002861023,0.0
2023-01-04 23:00:00,0.0,0.0042915344,0.0,0.0
2023-01-05 00:00:00,0.0,0.0,0.0,0.0
2023-01-05 01:00:00,0.0,0.0,0.0,0.0
2023-01-05 02:00:00,0.0,0.0,0.0,0.0
2023-01-05 03:00:00,0.0,0.0,0.0,0.0
2023-01-05 04:00:00,0.0,0.0,0.0,0.0
2023-01-05 05:00:00,0.0,0.0,0.0,0.0
2023-01-05 06:00:00,0.00047683716,0.0,0.00047683716,0.0009536743
2023-01-05 07:00:00,0.0,0.0,0.0,0.00047683716
2023-01-05 08:00:00,0.0,0.0,0.00047683716,0.0009536743
2023-01-05 09:00:00,0.0,0.00047683716,0.0009536743,0.0019073486
2023-01-05 10:00:00,0.0,0.0,0.0,0.00047683716
2023-01-05 11:00:00,0.0,0.0,0.0,0.00047683716
2023-01-05 12:00:00,0.0,0.0,0.00047683716,0.00047683716
2023-01-05 13:00:00,0.00047683716,0.0,0.0,0.0
2023-01-05 14:00:00,0.0,0.0,0.0,0.0
2023-01-05 15:00:00,0.0,0.0,0.0,0.0
2023-01-05 16:00:00,0.0,0.0,0.0,0.0
2023-01-05 17:00:00,0.0,0.0,0.0,0.0
2023-01-05 18:00:00,0.0,0.0,0.0,0.00047683716
2023-01-05 19:00:00,0.0,0.0,0.0,0.0
2023-01-05 20:00:00,0.0,0.0,0.008583069,0.002861023
2023-01-05 21:00:00,0.0042915344,0.0,0.0052452087,0.011444092
2023-01-05 22:00:00,0.0,0.0,0.0,0.0
2023-01-05 23:00:00,0.0,0.0014305115,0.0009536743,0.0
2023-01-06 00:00:00,0.0,0.011444092,0.0052452087,0.0
2023-01-06 01:00:00,0.00047683716,0.026226044,0.0104904175,0.0
2023-01-06 02:00:00,0.008106232,0.031471252,0.012874603,0.0014305115
2023-01-06 03:00:00,0.0076293945,0.046253204,0.02193451,0.00333786
2023-01-06 04:00:00,0.0042915344,0.04386902,0.02527237,0.0023841858
2023-01-06 05:00:00,0.0042915344,0.036239624,0.022411346,0.0023841858
2023-01-06 06:00:00,0.0023841858,0.0,0.00047683716,0.0023841858
2023-01-06 07:00:00,0.008583069,0.002861023,0.002861023,0.011920929
2023-01-06 08:00:00,0.01001358,0.0038146973,0.0014305115,0.0038146973
2023-01-06 09:00:00,0.014781952,0.002861023,0.00047683716,0.0076293945
2023-01-06 10:00:00,0.0538826,0.008583069,0.0023841858,0.030994415
2023-01-06 11:00:00,0.0071525574,0.03385544,0.002861023,0.0042915344
2023-01-06 12:00:00,0.0023841858,0.028133392,0.017642975,0.0038146973
2023-01-06 13:00:00,0.008583069,0.0076293945,0.002861023,0.0023841858
2023-01-06 14:00:00,0.00333786,0.00667572,0.0023841858,0.00047683716
2023-01-06 15:00:00,0.0014305115,0.0166893,0.0071525574,0.0
2023-01-06 16:00:00,0.0,0.015258789,0.0023841858,0.0
2023-01-06 17:00:00,0.0,0.008106232,0.00047683716,0.0
2023-01-06 18:00:00,0.0014305115,0.00667572,0.0014305115,0.0
2023-01-06 19:00:00,0.015735626,0.009059906,0.0023841858,0.0
2023-01-06 20:00:00,0.009059906,0.19311905,0.16403198,0.10204315
2023-01-06 21:00:00,0.10061264,0.19598007,0.12540817,0.16212463
2023-01-06 22:00:00,0.15974045,0.19216537,0.06723404,0.06914139
2023-01-06 23:00:00,0.20837784,0.14543533,0.016212463,0.054836273
2023-01-07 00:00:00,0.08010864,0.09012222,0.02193451,0.0052452087
2023-01-07 01:00:00,0.042438507,0.0371933,0.00047683716,0.006198883
2023-01-07 02:00:00,0.008106232,0.034332275,0.011920929,0.00333786
2023-01-07 03:00:00,0.027179718,0.039577484,0.019073486,0.011444092
2023-01-07 04:00:00,0.03385544,0.042915344,0.019073486,0.0166893
2023-01-07 05:00:00,0.074863434,0.05722046,0.019073486,0.030040741
2023-01-07 06:00:00,0.096321106,0.0705719,0.022411346,0.034809113
2023-01-07 07:00:00,0.07104874,0.035762787,0.01001358,0.024318695
2023-01-07 08:00:00,0.11777878,0.022411346,0.002861023,0.07247925
2023-01-07 09:00:00,0.11062622,0.039577484,0.00333786,0.044822693
2023-01-07 10:00:00,0.1578331,0.07200241,0.012874603,0.06341934
2023-01-07 11:00:00,0.3504753,0.1320839,0.02670288,0.18453598
2023-01-07 12:00:00,0.2770424,0.41770935,0.1821518,0.11920929
2023-01-07 13:00:00,0.26750565,0.2837181,0.11301041,0.092983246
2023-01-07 14:00:00,0.3027916,0.14543533,0.0500679,0.1206398
2023-01-07 15:00:00,0.21457672,0.08440018,0.041007996,0.071525574
2023-01-07 16:00:00,0.26655197,0.10919571,0.041484833,0.07772446
2023-01-07 17:00:00,0.18119812,0.11062622,0.08010864,0.06437302
2023-01-07 18:00:00,0.06866455,0.086307526,0.10633469,0.01859665
2023-01-07 19:00:00,0.059604645,0.027179718,0.09012222,0.074863434
2023-01-07 20:00:00,0.041007996,0.015258789,0.06866455,0.11539459
2023-01-07 21:00:00,0.012397766,0.054359436,0.055789948,0.014781952
2023-01-07 22:00:00,0.020980835,0.0500679,0.039100647,0.044345856
2023-01-07 23:00:00,0.07104874,0.059127808,0.012874603,0.03385544
2023-01-08 00:00:00,0.1835823,0.1296997,0.0333786,0.056266785
2023-01-08 01:00:00,0.124931335,0.11110306,0.032424927,0.046253204
2023-01-08 02:00:00,0.21457672,0.15115738,0.04053116,0.06341934
2023-01-08 03:00:00,0.17118454,0.1206398,0.023841858,0.051498413
2023-01-08 04:00:00,0.10347366,0.05865097,0.006198883,0.022888184
2023-01-08 05:00:00,0.044822693,0.032424927,0.0019073486,0.0
2023-01-08 06:00:00,0.02861023,0.020980835,0.0014305115,0.0
2023-01-08 07:00:00,0.039100647,0.026226044,0.0038146973,0.0071525574
2023-01-08 08:00:00,0.041484833,0.017642975,0.0014305115,0.01001358
2023-01-08 09:00:00,0.02193451,0.01335144,0.0019073486,0.009059906
2023-01-08 10:00:00,0.02861023,0.018119812,0.0014305115,0.009536743
2023-01-08 11:00:00,0.092983246,0.032424927,0.00047683716,0.020980835
2023-01-08 12:00:00,0.076293945,0.0333786,0.00047683716,0.032901764
2023-01-08 13:00:00,0.10442734,0.04196167,0.00047683716,0.034332275
2023-01-08 14:00:00,0.091552734,0.06055832,0.011920929,0.02336502
2023-01-08 15:00:00,0.08249283,0.049591064,0.014781952,0.028133392
2023-01-08 16:00:00,0.052452087,0.08583069,0.04005432,0.0076293945
2023-01-08 17:00:00,0.1039505,0.044822693,0.0009536743,0.014305115
2023-01-08 18:00:00,0.05722046,0.036239624,0.0019073486,0.005722046
2023-01-08 19:00:00,0.062465668,0.035762787,0.0009536743,0.014305115
2023-01-08 20:00:00,0.031471252,0.01859665,0.02002716,0.0
2023-01-08 21:00:00,0.01335144,0.02002716,0.042915344,0.006198883
2023-01-08 22:00:00,0.0166893,0.04005432,0.02861023,0.011920929
2023-01-08 23:00:00,0.019073486,0.20694733,0.12636185,0.015735626
2023-01-09 00:00:00,0.042915344,0.20313263,0.096321106,0.012397766
2023-01-09 01:00:00,0.096321106,0.1411438,0.07724762,0.04196167
2023-01-09 02:00:00,0.11444092,0.33426285,0.13685226,0.032424927
2023-01-09 03:00:00,0.027179718,0.04339218,0.015258789,0.009536743
2023-01-09 04:00:00,0.03671646,0.07867813,0.03385544,0.0076293945
2023-01-09 05:00:00,0.024318695,0.0538826,0.027179718,0.010967255
2023-01-09 06:00:00,0.023841858,0.0371933,0.021457672,0.00667572
2023-01-09 07:00:00,0.044345856,0.060081482,0.038146973,0.015258789
2023-01-09 08:00:00,0.019550323,0.011444092,0.008106232,0.00667572
2023-01-09 09:00:00,0.008106232,0.00333786,0.0014305115,0.002861023
2023-01-09 10:00:00,0.045776367,0.019073486,0.017642975,0.0371933
2023-01-09 11:00:00,0.08201599,0.08249283,0.071525574,0.08249283
2023-01-09 12:00:00,0.1449585,0.14162064,0.11968613,0.13875961
2023-01-09 13:00:00,0.14734268,0.12588501,0.08535385,0.09918213
2023-01-09 14:00:00,0.26655197,0.12207031,0.0910759,0.17547607
2023-01-09 15:00:00,0.26130676,0.039100647,0.076293945,0.23794174
2023-01-09 16:00:00,0.4043579,0.23794174,0.17499924,0.34332275
2023-01-09 17:00:00,0.41532516,0.09918213,0.1320839,0.28800964
2023-01-09 18:00:00,0.2732277,0.12302399,0.10442734,0.17166138
2023-01-09 19:00:00,0.27036667,0.104904175,0.057697296,0.102996826
