,NomeEstacao,CodEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
4129,PONTE COMANDAÍ GUARANI DAS MISSÕES,74360010,7,74,00266 - SEMA-RS - SEMA-RS,00266 - SEMA-RS - SEMA-RS,GUARANI DAS MISSÕES-RS,-28.13970,-54.56030,0.00,74303600,RIO COMANDAI,RHN,Ativo
4130,CGH RIO FORTALEZA BARRAMENTO,74360080,7,74,00179 - CRELUZ G - CRELUZ G,00179 - CRELUZ G - CRELUZ G,ERVAL SECO-RS,-27.47360,-53.45780,341.00,74203100,ARROIO FORTALEZA,Setor Elétrico,Ativo
4131,CGH GRANJA VELHA MONTANTE,74361000,7,74,00179 - CRELUZ G - CRELUZ G,00179 - CRELUZ G - CRELUZ G,TAQUARUÇU DO SUL-RS,-27.42330,-53.54060,276.00,74203100,ARROIO FORTALEZA,RHN,Ativo
4132,CPRM - RIO GUARITA PALMITINHO,74370010,7,74,00266 - SEMA-RS - SEMA-RS,00266 - SEMA-RS - SEMA-RS,TENENTE PORTELA-RS,-27.33280,-53.64440,0.00,74203000,RIO GUARITA,RHN,Ativo
4133,PCH SALTO DAS FLORES MONTANTE,74400000,7,74,00465 - SALTODASFLORES - Central Hidrelétrica Salto das Flores S.A,00465 - SALTODASFLORES - Central Hidrelétrica Salto das Flores S.A,PARAÍSO-SC,-26.64280,-53.65310,447.00,74301200,RIO DAS FLORES,Setor Elétrico,Ativo
4134,PCH SALTO DAS FLORES BARRAMENTO,74400080,7,74,00465 - SALTODASFLORES - Central Hidrelétrica Salto das Flores S.A,00465 - SALTODASFLORES - Central Hidrelétrica Salto das Flores S.A,PARAÍSO-SC,-26.66780,-53.65080,444.00,74301200,RIO DAS FLORES,Setor Elétrico,Ativo
4135,CGH BELMONTE BARRAMENTO,74423080,7,74,00692 - RIO DAS FLORES - Companhia Energética Rio das Flores S.A,00692 - RIO DAS FLORES - Companhia Energética Rio das Flores S.A,BANDEIRANTE-SC,-26.83470,-53.66580,259.00,74301200,RIO DAS FLORES,Setor Elétrico,Ativo
4136,CGH BELMONTE JUSANTE,74423100,7,74,00692 - RIO DAS FLORES - Companhia Energética Rio das Flores S.A,00692 - RIO DAS FLORES - Companhia Energética Rio das Flores S.A,BANDEIRANTE-SC,-26.83750,-53.66280,252.00,74301200,RIO DAS FLORES,Setor Elétrico,Ativo
4137,PONTE DO RIO TURVO,74460000,7,74,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,SANTO AUGUSTO-RS,-27.82470,-53.73030,400.00,74301500,RIO TURVO,CotaOnline,Ativo
4138,PCH CARLOS GONZATTO PONTE TURVO,74462000,7,74,00301 - CN ENERGIA - CN Energia S.A,00301 - CN ENERGIA - CN Energia S.A,SANTO AUGUSTO-RS,-27.82030,-53.73280,434.00,74301500,RIO TURVO,Setor Elétrico,Ativo
