,NomeEstacao,CodEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
0,UHE BELO MONTE BR230,00351004,1,18,00594 - NORTE ENERGIA - Norte Energia S.A,00594 - NORTE ENERGIA - Norte Energia S.A,VITÓRIA DO XINGU-PA,-3.12670,-51.79060,33.00,0,,Setor Elétrico,Ativo
1,UHE BELO MONTE SÍTIO PIMENTAL,00351005,1,18,00594 - NORTE ENERGIA - Norte Energia S.A,00594 - NORTE ENERGIA - Norte Energia S.A,VITÓRIA DO XINGU-PA,-3.37580,-51.94030,110.00,0,,Setor Elétrico,Ativo
2,UHE BELO MONTE VISTA ALEGRE,00352009,1,18,00594 - NORTE ENERGIA - Norte Energia S.A,00594 - NORTE ENERGIA - Norte Energia S.A,ALTAMIRA-PA,-3.11860,-52.25250,125.00,0,,Setor Elétrico,Ativo
3,UHE BELO MONTE SÃO FRANCISCO,00352010,1,18,00594 - NORTE ENERGIA - Norte Energia S.A,00594 - NORTE ENERGIA - Norte Energia S.A,ALTAMIRA-PA,-3.25330,-52.34890,124.00,0,,Setor Elétrico,Ativo
4,UHE BELO MONTE JOARI,00652002,1,18,00594 - NORTE ENERGIA - Norte Energia S.A,00594 - NORTE ENERGIA - Norte Energia S.A,SÃO FÉLIX DO XINGÚ-PA,-6.56030,-52.07640,0.00,0,,Setor Elétrico,Ativo
5,MÂNCIO LIMA,00772006,1,12,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,MÂNCIO LIMA-AC,-7.59360,-72.92610,216.00,0,,RHN,Ativo
6,MATA DE SÃO JOÃO,00839052,4,48,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,OROCÓ-PE,-8.57310,-39.46190,329.00,0,,RHN,Ativo
7,MORRINHOS,00946005,3,34,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,ALTO PARNAÍBA-MA,-9.62470,-46.29030,356.00,0,,RHN,Ativo
8,SENA MADUREIRA,00968006,1,13,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,SENA MADUREIRA-AC,-9.05860,-68.65920,190.00,0,,RHN,Ativo
9,SANTA ROSA,00970003,1,13,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,SANTA ROSA DO PURUS-AC,-9.43860,-70.49220,219.00,0,,RHN,Ativo
10,JORDÃO,00971002,1,12,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,JORDÃO-AC,-9.19389,-71.94917,239.00,0,,RHN,Ativo
11,UHE ESTREITO RIO PONTE ALTA,01047009,2,22,00791 - CONS.CESTE - Consórcio Estreito Energia - CESTE,00791 - CONS.CESTE - Consórcio Estreito Energia - CESTE,PONTE ALTA DO TOCANTINS-TO,-10.74610,-47.53720,316.00,0,,Setor Elétrico,Ativo
12,UHE COLÍDER METEOROLÓGICA,01055005,1,17,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,COLIDER-MT,-10.95470,-55.77810,0.00,0,,Setor Elétrico,Ativo
13,PCH ÂNGELO CASSOL MONTANTE,01162007,1,15,00768 - ÂNGELO CASSOL - Hidroelétrica Ângelo Cassol Ltda.,00768 - ÂNGELO CASSOL - Hidroelétrica Ângelo Cassol Ltda.,ALTA FLORESTA D''OESTE-RO,-11.92920,-62.08780,292.00,0,,Setor Elétrico,Ativo
14,PCH MONTE BELO MONTANTE,01162008,1,15,00307 - ELETROSSOL - Centrais Elétricas Cassol  Ltda.-ELETROSSOL,00307 - ELETROSSOL - Centrais Elétricas Cassol  Ltda.-ELETROSSOL,ALTA FLORESTA D''OESTE-RO,-11.95560,-62.17940,316.00,0,,Setor Elétrico,Ativo
15,PCH SALDANHA PLU,01162011,1,15,01109 - HIDROLUZ - Hidroluz Centrais Elétricas Ltda.,01109 - HIDROLUZ - Hidroluz Centrais Elétricas Ltda.,ALTA FLORESTA D''OESTE-RO,-11.95860,-62.18390,310.00,0,,Setor Elétrico,Ativo
16,PROJETO RIO FORMOSO,01249002,2,26,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,FORMOSO DO ARAGUAIA-TO,-11.83940,-49.77170,196.00,0,,RHN,Ativo
17,PCH CABIXI MONTANTE,01260008,1,15,00686 - CASSOL - Cassol Centrais Elétricas Ltda.,00686 - CASSOL - Cassol Centrais Elétricas Ltda.,VILHENA-RO,-12.89920,-60.10830,612.00,0,,Setor Elétrico,Ativo
18,PCH CASCATA CHUPINGUAIA PLU,01260012,1,15,00561 - CHUPINGUAIA - Hidroelétrica Chupinguaia Ltda.,00561 - CHUPINGUAIA - Hidroelétrica Chupinguaia Ltda.,CHUPINGUAIA-RO,-12.85420,-60.85060,267.00,0,,Setor Elétrico,Ativo
19,CGH SANTA LUZIA DOESTE PLU,01261002,1,15,00559 - BERGAMIN - Hidroelétrica Bergamin Ltda.,00559 - BERGAMIN - Hidroelétrica Bergamin Ltda.,ALTO ALEGRE DOS PARECIS-RO,-12.34330,-61.76920,356.00,0,,Setor Elétrico,Ativo
20,PZ_FAZ VEREDA DO OURO - SEDE,01445012,4,45,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,COCOS-BA,-14.58360,-45.54220,0.00,0,,RHN,Ativo
21,PZ_FAZ VEREDA DO OURO - VEREDINHA,01445013,4,45,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,COCOS-BA,-14.60920,-45.51970,0.00,0,,RHN,Ativo
22,PZ_ESCOLA FAZ SANTA COLOMBA,01445014,4,45,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,COCOS-BA,-14.67640,-45.46780,0.00,0,,RHN,Ativo
23,PZ_FAZ SANTA COLOMBA,01445015,4,45,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,COCOS-BA,-14.71280,-45.41140,0.00,0,,RHN,Ativo
24,PZ_FAZ SANTA LUZIA,01445016,4,45,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,COCOS-BA,-14.84060,-45.95780,0.00,0,,RHN,Ativo
25,PZ_PARNA I/FAZ SANTA LUZIA,01445017,4,45,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,COCOS-BA,-14.89310,-45.84940,0.00,0,,RHN,Ativo
26,UHE MANSO MET,01455013,6,66,00809 - CONS.MANSO - Consórcio UHE Manso,00809 - CONS.MANSO - Consórcio UHE Manso,CHAPADA DOS GUIMARÃES-MT,-14.86140,-55.78940,344.00,0,,Setor Elétrico,Ativo
27,PCH MACHADO MINEIRO PASSAGEM DAS ÉGUAS,01542030,5,53,00239 - HORIZONTES - Horizontes Energia S.A.,00239 - HORIZONTES - Horizontes Energia S.A.,RIO DO PRADO-MG,-15.60920,-42.54170,0.00,0,,Setor Elétrico,Ativo
28,PZ_FAZ SANTA HELENA,01543028,4,44,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,JAÍBA-MG,-15.37360,-43.68420,0.00,0,,RHN,Ativo
29,PZ_LINHA II,01543029,4,44,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,JAÍBA-MG,-15.38470,-43.72920,0.00,0,,RHN,Ativo
30,PZ_PROJ JAÍBA,01543030,4,44,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,JAÍBA-MG,-15.26080,-43.77500,0.00,0,,RHN,Ativo
31,PZ_FAZENDA MATA VELHA,01543031,4,44,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,JAÍBA-MG,-15.33280,-43.76860,0.00,0,,RHN,Ativo
32,PZ_BARREIRO VERMELHO,01543032,4,44,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,JAÍBA-MG,-15.37500,-43.66420,0.00,0,,RHN,Ativo
33,PZ_PARNA GLEBA/ESTIVA,01545009,4,45,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,CHAPADA GAUCHA-MG,-15.08640,-45.67470,0.00,0,,RHN,Ativo
34,PZ_PARNA -PORTARIA I,01545010,4,45,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,CHAPADA GAUCHA-MG,-15.18890,-45.64500,0.00,0,,RHN,Ativo
35,PZ_PARNA TORRE DIAMANTE,01545011,4,45,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,FORMOSO-MG,-15.28580,-45.91920,0.00,0,,RHN,Ativo
36,ANA SEDE - TELEMÉTRICA,01547079,6,60,00001 - ANA - Agência Nacional de Águas ,00001 - ANA - Agência Nacional de Águas ,BRASÍLIA-DF,-15.81810,-47.94500,1150.00,0,,RHN,Ativo
37,UHE SERRA DA MESA BARRO ALTO,01548050,2,20,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,BARRO ALTO-GO,-15.11750,-48.92420,584.00,0,,Setor Elétrico,Ativo
38,PZ_BOM JARDIM,01643045,4,44,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,SÃO JOÃO DA PONTE-MG,-16.11080,-43.85310,0.00,0,,RHN,Ativo
39,PZ_BARRA DO RIO VERDE,01643046,4,44,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,MONTES CLAROS-MG,-16.17610,-43.77420,0.00,0,,RHN,Ativo
40,PZ_PELG,01643047,4,44,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,MONTES CLAROS-MG,-16.70560,-43.76720,0.00,0,,RHN,Ativo
41,PZ_ETE VIEIRA,01643048,4,44,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,MONTES CLAROS-MG,-16.68720,-43.85440,0.00,0,,RHN,Ativo
42,PZ_FAZENDA REATA,01643049,4,44,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,CAPITÃO ENÉAS-MG,-16.06500,-43.73060,0.00,0,,RHN,Ativo
43,UHE BATALHA CRISTALINA,01647002,6,60,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,CRISTALINA-GO,-16.78810,-47.60330,1173.00,0,,Setor Elétrico,Ativo
44,UHE BATALHA FAZENDA BURITI,01647023,6,60,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,CRISTALINA-GO,-16.96830,-47.34190,881.00,0,,Setor Elétrico,Ativo
45,UHE BATALHA SÍTIO OLHO D' ÁGUA,01647024,6,60,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,UNAÍ-MG,-16.38920,-47.15080,974.00,0,,Setor Elétrico,Ativo
46,LASSANCE,01744010,4,41,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,LASSANCE-MG,-17.89000,-44.57670,536.00,0,,RHN,Ativo
47,UHE SERRA DO FACÃO CLIMATOLÓGICA,01747012,6,60,00334 - SERRA DO FACÃO - Serra do Facão Energia S.A.,00334 - SERRA DO FACÃO - Serra do Facão Energia S.A.,CATALÃO-GO,-17.87720,-47.70140,0.00,0,,Setor Elétrico,Ativo
48,UHE ITUMBIARA PIRACANJUBA,01749015,6,60,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,PIRACANJUBA-GO,-17.31060,-49.02190,730.00,0,,Setor Elétrico,Ativo
49,PCH TRONQUEIRAS SE GOVERNADOR VALADARES,01841029,5,56,01061 - CEMIG LESTE - CEMIG  Geração Leste S.A.,01061 - CEMIG LESTE - CEMIG  Geração Leste S.A.,GOVERNADOR VALADARES-MG,-18.85500,-41.96000,0.00,0,,Setor Elétrico,Ativo
50,UHE ITUMBIARA TUPACIGUARA,01848055,6,60,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,TUPACIGUARA-MG,-18.62170,-48.68470,917.00,0,,Setor Elétrico,Ativo
51,UHE ITUMBIARA ÁGUA LIMPA,01848059,6,60,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,ÁGUA LIMPA-GO,-18.07470,-48.75640,711.00,0,,Setor Elétrico,Ativo
52,UHE ITUMBIARA FAZENDA ROSAS,01848060,6,60,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,ANHANGUERA-GO,-18.32330,-48.22640,0.00,0,,Setor Elétrico,Ativo
53,CGH SANTA LUZIA SE ITUIUTABA,01849035,6,60,00023 - CEMIG - CEMIG Geração e Transmissão S.A,00023 - CEMIG - CEMIG Geração e Transmissão S.A,ITUIUTABA-MG,-18.96360,-49.44830,0.00,0,,Setor Elétrico,Ativo
54,UHE SÁ CARVALHO SE MESQUITA,01942033,5,56,00624 - SÁ CARVALHO - Sá Carvalho S.A,00624 - SÁ CARVALHO - Sá Carvalho S.A,MESQUITA-MG,-19.41690,-42.54920,0.00,0,,Setor Elétrico,Ativo
55,CGH SANTA LUZIA SE SERRA DO SALITRE,01946024,6,60,00023 - CEMIG - CEMIG Geração e Transmissão S.A,00023 - CEMIG - CEMIG Geração e Transmissão S.A,SERRA DO SALITRE-MG,-19.11830,-46.68170,0.00,0,,Setor Elétrico,Ativo
56,PCH MARTINS SE UBERABA,01947032,6,61,01071 - CEMIG OESTE - CEMIG Geração Oeste S.A.,01071 - CEMIG OESTE - CEMIG Geração Oeste S.A.,UBERABA-MG,-19.71970,-47.91420,0.00,0,,Setor Elétrico,Ativo
57,ROSÁRIO DA LIMEIRA,02042051,5,58,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,ROSÁRIO DA LIMEIRA-MG,-20.97888,-42.50944,0.00,0,,RHN,Ativo
58,CGH NOVA PONTE QUEIMADA II BARRAMENTO,02042436,5,56,01132 - LIMPA - Energia Limpa Participações Ltda.,01132 - LIMPA - Energia Limpa Participações Ltda.,RIO CASCA-MG,-20.27690,-42.65170,350.00,0,,Setor Elétrico,Ativo
59,UHE PETI SÃO GONÇALO DO RIO ACIMA,02043063,5,56,01061 - CEMIG LESTE - CEMIG  Geração Leste S.A.,01061 - CEMIG LESTE - CEMIG  Geração Leste S.A.,BARÃO DE COCAIS-MG,-20.02530,-43.53920,0.00,0,,Setor Elétrico,Ativo
60,CONSELHEIRO LAFAIETE,02043133,4,40,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,00001 - ANA - Agência Nacional de Águas ,CONSELHEIRO LAFAIETE-MG,-20.62500,-43.75360,996.00,0,,RHN,Ativo
61,UHE CAJURU FAZENDA CAMPO GRANDE,02044063,4,40,01071 - CEMIG OESTE - CEMIG Geração Oeste S.A.,01071 - CEMIG OESTE - CEMIG Geração Oeste S.A.,PASSA TEMPO-MG,-20.62610,-44.43780,0.00,0,,Setor Elétrico,Ativo
62,LAGOA DOURADA,02044079,4,40,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,LAGOA DOURADA-MG,-20.91027,-44.07750,0.00,13330000,RIO ACRE,RHN,Ativo
63,CGH ANIL SE PIMENTA,02045031,6,61,00023 - CEMIG - CEMIG Geração e Transmissão S.A,00023 - CEMIG - CEMIG Geração e Transmissão S.A,PIMENTA-MG,-20.46830,-45.79310,0.00,0,,Setor Elétrico,Ativo
64,UHE MARECHAL MASCARENHAS DE MORAES ITAÚ DE MINAS,02046031,6,61,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,ITAÚ DE MINAS-MG,-20.74890,-46.74360,0.00,0,,Setor Elétrico,Ativo
65,UHE LUIZ CARLOS BARRETO DE CARVALHO MET,02047115,6,61,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,PEDREGULHO-SP,-20.15830,-47.27810,725.00,0,,Setor Elétrico,Ativo
66,UHE PORTO COLÔMBIA PLU,02048096,6,61,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,PLANURA-MG,-20.11920,-48.57310,0.00,0,,Setor Elétrico,Ativo
67,UHE MARIMBONDO MET,02049070,6,61,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,FRONTEIRA-MG,-20.29250,-49.19670,454.00,0,,Setor Elétrico,Ativo
68,FAZENDA UMBAÚBAS,02142004,5,58,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,MURIAÉ-MG,-21.05030,-42.51560,490.00,0,,RHN,Ativo
69,SÃO SEBASTIÃO DA VARGEM ALEGRE,02142096,5,58,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,SÃO SEBASTIÃO DA VARGEM ALEGRE-MG,-21.07250,-42.63694,0.00,0,,RHN,Ativo
70,MIRAI,02142097,5,58,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,MIRAÍ-MG,-21.19472,-42.61583,0.00,0,,RHN,Ativo
71,PCH MARMELOS SE JUIZ DE FORA,02143064,5,58,01060 - CEMIG SUL - CEMIG Geração Sul S.A.,01060 - CEMIG SUL - CEMIG Geração Sul S.A.,JUIZ DE FORA-MG,-21.71140,-43.40310,0.00,0,,Setor Elétrico,Ativo
72,PCH MARMELOS CHAPÉU D'UVAS,02143162,5,58,01060 - CEMIG SUL - CEMIG Geração Sul S.A.,01060 - CEMIG SUL - CEMIG Geração Sul S.A.,JUIZ DE FORA-MG,-21.58530,-43.52720,746.00,0,,Setor Elétrico,Ativo
73,UHE LUIZ CARLOS BARRETO DE CARVALHO BOA ESPERANÇA,02145048,6,61,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,BOA ESPERANÇA-MG,-21.08780,-45.56860,772.00,0,,Setor Elétrico,Ativo
74,FAZENDA DAS FLORES,02147012,6,61,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,CRAVINHOS-SP,-21.33330,-47.78330,720.00,0,,RHN,Ativo
75,FAZENDA RESFRIADO,02147013,6,61,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,RIBEIRÃO PRETO-SP,-21.30000,-47.93330,590.00,0,,RHN,Ativo
76,CRAVINHOS,02147014,6,61,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,CRAVINHOS-SP,-21.36670,-47.71670,700.00,0,,RHN,Ativo
77,PEDRO DO RIO,02243012,5,58,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,PETRÓPOLIS-RJ,-22.33250,-43.13610,645.00,0,,RHN,Ativo
78,UHE SIMPLÍCIO FAZENDA SANTA MÔNICA,02243507,5,58,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,VALENÇA-RJ,-22.36080,-43.69780,0.00,0,,Setor Elétrico,Ativo
79,UHE SIMPLÍCIO METEOROLÓGICA,02243508,5,58,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,SAPUCAIA-RJ,-22.03890,-43.00060,414.00,0,,Setor Elétrico,Ativo
80,UEL VIGÁRIO PASSO TRÊS,02244107,5,58,00008 - LIGHT - Light Energia S.A,00008 - LIGHT - Light Energia S.A,RIO CLARO-RJ,-22.69250,-44.00690,450.00,0,,Setor Elétrico,Ativo
81,UHE FUNIL RESENDE AEROPORTO,02244161,5,58,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,RESENDE-RJ,-22.47560,-44.47360,0.00,0,,Setor Elétrico,Ativo
82,UHE FUNIL GUARATINGUETÁ,02245032,5,58,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,GUARATINGUETÁ-SP,-22.80890,-45.20080,558.00,0,,Setor Elétrico,Ativo
83,ESTRADA DE CUNHA (DA),02245056,5,58,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,CUNHA-SP,-22.98330,-45.05000,800.00,0,,RHN,Ativo
84,PIRES,02246176,6,62,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,EXTREMA-MG,-22.87140,-46.36190,0.00,62263000,RIO JAGUARI,RHN,Ativo
85,UHE SALTO GRANDE FAZENDA SÃO PAULO,02249113,6,64,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,ÁGUAS DE SANTA BARBARA-SP,-22.76190,-49.24310,643.00,0,,Setor Elétrico,Ativo
86,UHE CANOAS I CÂNDIDO MOTTA,02250097,6,64,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,PLATINA-SP,-22.75330,-50.46940,437.00,0,,Setor Elétrico,Ativo
87,UHE CANOAS I PLATINA,02250098,6,64,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,PLATINA-SP,-22.60810,-50.18080,472.00,0,,Setor Elétrico,Ativo
88,UHE CANOAS II IBIRAREMA,02250099,6,64,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,IBIRAREMA-SP,-22.86640,-50.09360,432.00,0,,Setor Elétrico,Ativo
89,UHE CANOAS II PALMITAL,02250100,6,64,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,PALMITAL-SP,-22.72220,-50.13580,530.00,0,,Setor Elétrico,Ativo
90,UHE TAQUARUÇU ANHUMAS,02251080,6,64,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,ANHUMAS-SP,-22.29970,-51.43030,451.00,0,,Setor Elétrico,Ativo
91,UHE TAQUARUÇU CENTENÁRIO DO SUL,02251081,6,64,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,CENTENÁRIO DO SUL-PR,-22.83170,-51.60280,514.00,0,,Setor Elétrico,Ativo
92,FAZENDA DO CUME,02344001,5,58,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,CUNHA-SP,-23.08330,-44.90000,900.00,0,,RHN,Ativo
93,PONTE ALTA (DA),02345149,5,58,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,SÃO LUÍS DO PARAITINGA-SP,-23.31670,-45.13330,0.00,0,,RHN,Ativo
94,ATIBAIA,02346449,6,62,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,ATIBAIA-SP,-23.10530,-46.55580,0.00,62260100,RIO ATIBAIA,RHN,Ativo
95,PCH PORTO GÓES BOM JARDIM,02346469,6,62,00084 - EMAE - EMAE,00084 - EMAE - EMAE,JUNDIAÍ-SP,-23.15250,-46.99000,732.55,0,,Setor Elétrico,Ativo
96,UHE JURUMIRIM BREJAUVA,02347192,6,64,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,SÃO MIGUEL ARCANJO-SP,-23.78560,-47.63560,745.00,0,,Setor Elétrico,Ativo
97,UHE CANOAS I BAIRRO MORRO CAVADO,02348090,6,64,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,BURI-SP,-23.71220,-48.70420,666.00,0,,Setor Elétrico,Ativo
98,UHE CANOAS II FAZENDA TRÊS LAGOAS,02348092,6,64,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,ANGATUBA-SP,-23.42830,-48.44000,712.00,0,,Setor Elétrico,Ativo
99,UHE CHAVANTES FAZENDA SÃO JOÃO,02349076,6,64,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,RIVERSUL-SP,-23.85170,-49.39500,659.80,0,,Setor Elétrico,Ativo
100,PCH APUCARANINHA MONTANTE 2,02351080,6,64,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,APUCARANA-PR,-23.51750,-51.53030,0.00,0,,Setor Elétrico,Ativo
101,UHE CANOAS I BAIRRO CACHIMBA,02448071,6,64,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,APIAÍ-SP,-24.48310,-48.77690,880.00,0,,Setor Elétrico,Ativo
102,UHE CANOAS I BAIRRO CANTAGALO,02448072,6,64,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,ITAPEVA-SP,-24.09360,-48.63890,950.00,0,,Setor Elétrico,Ativo
103,UHE CANOAS II CAPÃO LIMPO,02448073,6,64,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,CAPÃO BONITO-SP,-24.07140,-48.18250,635.00,0,,Setor Elétrico,Ativo
104,JAGUARIAIVA,02449040,6,64,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,JAGUARIAIVA-PR,-24.26420,-49.73170,890.00,0,,RHN,Ativo
105,UHE CHAVANTES BERTANHOLI,02449067,6,64,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,ITARARÉ-SP,-24.09030,-49.32920,725.00,0,,Setor Elétrico,Ativo
106,BOM JARDIM MONTANTE,02450009,6,64,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,TIBAGI-PR,-24.67780,-50.48440,750.00,0,,RHN,Ativo
