BaciaCodigo,SubBaciaCodigo,RioCodigo,RioNome,EstadoCodigo,nmEstado,MunicipioCodigo,nmMunicipio,ResponsavelCodigo,ResponsavelSigla,ResponsavelUnidade,ResponsavelJurisdicao,OperadoraCodigo,OperadoraSigla,OperadoraUnidade,OperadoraSubUnidade,TipoEstacao,Codigo,Nome,CodigoAdicional,Latitude,Longitude,Altitude,AreaDrenagem,TipoEstacaoEscala,TipoEstacaoRegistradorNivel,TipoEstacaoDescLiquida,TipoEstacaoSedimentos,TipoEstacaoQualAgua,TipoEstacaoPluviometro,TipoEstacaoRegistradorChuva,TipoEstacaoTanqueEvapo,TipoEstacaoClimatologica,TipoEstacaoPiezometria,TipoEstacaoTelemetrica,PeriodoEscalaInicio,PeriodoEscalaFim,PeriodoRegistradorNivelInicio,PeriodoRegistradorNivelFim,PeriodoDescLiquidaInicio,PeriodoDescLiquidaFim,PeriodoSedimentosInicio,PeriodoSedimentosFim,PeriodoQualAguaInicio,PeriodoQualAguaFim,PeriodoPluviometroInicio,PeriodoPluviometroFim,PeriodoRegistradorChuvaInicio,PeriodoRegistradorChuvaFim,PeriodoTanqueEvapoInicio,PeriodoTanqueEvapoFim,PeriodoClimatologicaInicio,PeriodoClimatologicaFim,PeriodoPiezometriaInicio,PeriodoPiezometriaFim,PeriodoTelemetricaInicio,PeriodoTelemetricaFim,TipoRedeBasica,TipoRedeEnergetica,TipoRedeNavegacao,TipoRedeCursoDagua,TipoRedeEstrategica,TipoRedeCaptacao,TipoRedeSedimentos,TipoRedeQualAgua,TipoRedeClasseVazao,UltimaAtualizacao,Operando,Descricao,NumImagens,DataIns,DataAlt
8,83,,,23,SANTA CATARINA,23027000,BOTUVERÁ,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749070,BOTUVERA_Águas Negras,420270102,-27.203,-49.029,67,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23027000,BOTUVERÁ,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749071,BOTUVERA_Ribeirão do Ouro,420270103,-27.203,-49.151,113,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23027000,BOTUVERÁ,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749072,BOTUVERA_Lageado,420270104,-27.1657,-49.1324,183,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23040900,CHAPADÃO DO LAGEADO,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749073,CHAPADAO DO LAGEADO_Centro Saúde Pedro R. Batista,420419401,-27.584,-49.5421,601,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23062000,GUABIRUBA,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749074,GUABIRUBA_Lageado Baixo,420630602,-27.1278,-49.0228,95,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23084000,ITUPORANGA,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749075,ITUPORANGA_Centro1,420850001,-27.414,-49.605,369,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23084000,ITUPORANGA,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749076,ITUPORANGA_Centro2,420850002,-27.415,-49.599,388,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23084000,ITUPORANGA,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749077,ITUPORANGA_Gabiroba,420850003,-27.417,-49.583,375,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23084000,ITUPORANGA,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749078,ITUPORANGA_Gruta,420850004,-27.423,-49.606,366,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23084000,ITUPORANGA,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749079,ITUPORANGA_Bela Vista,420850005,-27.447,-49.502,748,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
