DatesR,PotEvap,Precip,Prod,Pn,Ps,AE,Perc,PR,Q9,Q1,Rout,Exch,AExch1,AExch2,AExch,QR,QD,Qsim
2002-01-01,0.3,1.6,161.129784834941,1.3,0.790905729043375,0.3,0.242867682599603,0.751961953556227,0.279104328233257,0.0276403968594088,42.4609156073237,0.0795902785131637,0.0795902785131637,0.0795902785131637,0.159180557026327,0.589298033609555,0.107230675372573,0.696528708982127
2002-01-02,0.3,0.5,161.009297205848,0.2,0.121470639461723,0.3,0.241958268554435,0.320487629092712,0.521252508731317,0.0409490306496596,42.4702962021392,0.0780957029632893,0.0780957029632893,0.0780957029632893,0.156191405926579,0.589967616879075,0.119044733612949,0.709012350492024
2002-01-03,0.2,0,160.59845791914,0,0,0.171961406495889,0.238877880211914,0.238877880211914,0.364103615657799,0.0493366251457438,42.3323702277413,0.0781561056329998,0.0781561056329998,0.0781561056329998,0.156312211266,0.580185695688774,0.127492730778744,0.707678426467518
2002-01-04,0.1,0,160.276101450947,0,0,0.0858734351887907,0.236483033004177,0.236483033004177,0.23091792346503,0.0355885966524072,42.0780582449765,0.0772713404986478,0.0772713404986478,0.0772713404986478,0.154542680997296,0.562501246728414,0.112859937151055,0.675361183879469
2002-01-05,0.2,0,159.871067097186,0,0,0.171533028684265,0.233501325077252,0.233501325077252,0.212941243667532,0.0254640158168535,41.8215409553253,0.0756587763454751,0.0756587763454751,0.0756587763454751,0.15131755269095,0.54511730966424,0.101122792162329,0.646240101826569
2002-01-06,0.3,0,159.384205204486,0,0,0.256904630390227,0.229957262309354,0.229957262309354,0.210304673002616,0.0236116244980514,41.5769453103684,0.0740567253102976,0.0740567253102976,0.0740567253102976,0.148113450620595,0.528957043269821,0.097668349808349,0.62662539307817
2002-01-07,0.3,0.4,159.217050283311,0.1,0.0615955632218965,0.3,0.228750484396969,0.267154921175073,0.212276931464179,0.0235194576646765,41.3476079279575,0.0725518381855079,0.0725518381855079,0.0725518381855079,0.145103676371016,0.514166152060552,0.0960712958501844,0.610237447910736
2002-01-08,0.4,3.8,161.055096762055,3.4,2.08035010950907,0.4,0.24230363076552,1.56195352125645,0.393540156581019,0.0334222034240571,41.3011001670921,0.071160789820658,0.071160789820658,0.071160789820658,0.142321579641316,0.511208707267104,0.104582993244715,0.615791700511819
2002-01-09,0.3,0,160.558571716275,0,0,0.257944538922831,0.238580506856507,0.238580506856507,0.984303672401641,0.0674285942174814,41.8118176677733,0.0708810378581764,0.0708810378581764,0.0708810378581764,0.141762075716353,0.544467209578646,0.138309632075658,0.682776841654304
2002-01-10,0.2,0,160.151312124492,0,0,0.171698449557979,0.235561142225724,0.235561142225724,0.477445617492182,0.0831685850632708,41.8183555062025,0.0739964805293348,0.0739964805293348,0.0739964805293348,0.14799296105867,0.544904259592303,0.157165065592606,0.702069325184909
2002-01-11,0.2,0,159.747256400864,0,0,0.171459795808814,0.232595927818509,0.232595927818509,0.21223774562845,0.0445980873995284,41.5757511113045,0.0740369846424407,0.0740369846424407,0.0740369846424407,0.148073969284881,0.528879125168859,0.118635072041969,0.647514197210828
2002-01-12,0.2,0,159.346350845825,0,0,0.171222029600678,0.229683525439008,0.229683525439008,0.209564833504405,0.0245123395055327,41.3439288070675,0.0725445448696868,0.0725445448696868,0.0725445448696868,0.145089089739374,0.513931682611085,0.0970568843752195,0.610988566986305
2002-01-13,0.2,0,158.948543063623,0,0,0.17098514259726,0.226822639604483,0.226822639604483,0.206939557667641,0.0231778856846136,41.1220533057965,0.0711386306160403,0.0711386306160403,0.0711386306160403,0.142277261232081,0.499953689554721,0.0943165163006539,0.594270205855375
2002-01-14,0.2,0.8,159.091084058038,0.6,0.370385427388438,0.2,0.227844432973,0.457459005584563,0.233297521407394,0.0244956807454002,40.9366471868539,0.0698113710722955,0.0698113710722955,0.0698113710722955,0.139622742144591,0.488515011422234,0.0943070518176957,0.582822063239929
2002-01-15,0.3,0.3,158.864859580486,0,0,0.3,0.226224477552871,0.226224477552871,0.337198160895508,0.0301240016951291,40.8587852204206,0.0687159162082941,0.0687159162082941,0.0687159162082941,0.137431832416588,0.483776043537174,0.0988399179034232,0.582615961440598
2002-01-16,0.5,0.5,158.640234443614,0,0,0.5,0.224625136871669,0.224625136871669,0.249375103553216,0.032913123037149,40.7020674999358,0.0682595581780008,0.0682595581780008,0.0682595581780008,0.136519116356002,0.474352382215952,0.10117268121515,0.575525063431101
2002-01-17,0.5,2.6,159.702743064318,2.1,1.2947797231701,0.5,0.232271102466088,1.03749137929599,0.303238896223148,0.0318024265122743,40.6041145063572,0.0673475873337822,0.0673475873337822,0.0673475873337822,0.134695174667564,0.468539477135552,0.0991500138460565,0.567689490981608
2002-01-18,0.3,0.7,159.715965435653,0.4,0.245589922820471,0.3,0.232367551485692,0.386777628665221,0.691478920010352,0.0498552683709545,40.8774658955774,0.0667820197902903,0.0667820197902903,0.0667820197902903,0.133564039580581,0.484909550580403,0.116637288161245,0.601546838741648
2002-01-19,0.1,0,159.400277455995,0,0,0.085614414615788,0.230073565041842,0.230073565041842,0.458042945411635,0.0638724579283408,40.9165872432238,0.0683688497873006,0.0683688497873006,0.0683688497873006,0.136737699574601,0.487290447552582,0.132241307715641,0.619531755268223
2002-01-20,0.2,0,159.002054592401,0,0,0.171017063246465,0.227205800347163,0.227205800347163,0.237864786714522,0.0426808087358931,40.7460674045608,0.0685981347873781,0.0685981347873781,0.0685981347873781,0.137196269574756,0.476982760164932,0.111278943523271,0.588261703688203
